Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,DOI_Link,location1,location2,location3,location4,location5
Nuclear cogeneration for cleaner desalination and power generation - A feasibility study,"Schmidt, JM; Gude, VG","Population growth, economic development, groundwater impairment due to salt water intrusion and local vulnerabilities caused by rising sea levels prompt immediate necessity for customized adaptation strategies for the cities of Homestead and Miami in Florida. This paper presents a feasibility study of nuclear energy driven cogeneration plant for water and power production in Homestead, FL. Miami-Dade and Homestead, Florida is home to the Turkey Point Nuclear Generating Facility. The focus of this study is to investigate the economic feasibility of a seawater desalination facility on the site of an existing nuclear generating plant. While the cost of seawater desalination is often too great to overcome, it is hypothesized that sharing the infrastructure and processes with a power generating facility will lower the cost of producing freshwater. The analysis was completed with the aid of the desalination modeling software, DEEP. First, we estimate the population growth and water demands for Homestead, FL and then identify a suitable water desalination plant configuration based on freshwater and power production costs. We then compare cogeneration (water and power) schemes based on different energy sources and desalination technologies. The energy sources considered are nuclear energy, oil and natural gas for steam turbine and combined cycle power plants. In addition, we evaluate the water and power production costs for hybrid desalination configurations. Finally, the freshwater costs through nuclear desalination were assessed with other options and conventional ground water system costs. Environmental emissions saved through nuclear desalination and the need for considering this option despite the high costs are discussed in detail. The study concluded that reverse osmosis desalination plant powered by nuclear energy produced water at the lowest cost which is still three times the cost of current water rates in Homestead, Florida.",2021,,CLEANER ENGINEERING AND TECHNOLOGY,2,,,WOS:000980915800010,10.1016/j.clet.2021.100044,,#20511,Schmidt 2021,,,https://doi.org/10.1016/j.clet.2021.100044,Homestead,Florida,Miami,Miami-Dade,
ALOPEX stochastic optimization for pumping management in fresh water coastal aquifers,"Stratis, PN; Saridakis, YG; Zakynthinaki, MS; Papadopoulou, EP","Saltwater intrusion in freshwater aquifers is a problem of increasing significance in areas nearby the coastline. Apart from natural disastrous phenomena, such as earthquakes or floods, intense pumping human activities over the aquifer areas may change the chemical composition of the freshwater aquifer. Working towards the direction of real time management of freshwater pumping from coastal aquifers, we have considered the deployment of the stochastic optimization Algorithm of Pattern Extraction (ALOPEX), coupled with several penalty strategies that produce convenient management policies. The present study, which further extents recently derived results, considers the analytical solution of a classical model for underground flow and the ALOPEX stochastic optimization technique to produce an efficient approach for pumping management over coastal aquifers. Numerical experimentation also includes a case study at Vathi area on the Greek island of Kalymnos, to compare with known results in the literature as well as to demonstrate different management strategies.",2014,,2ND INTERNATIONAL CONFERENCE ON MATHEMATICAL MODELING IN PHYSICAL SCIENCES 2013 (IC-MSQUARE 2013),490,,,WOS:000335909300110,10.1088/1742-6596/490/1/012112,,#20517,Stratis 2014,,,https://doi.org/10.1088/1742-6596/490/1/012112,Kalymnos,,,,
Tidal reversal and flow velocities using temperature and specific conductance in a small wetland creek,"Eaton, TT","Characterizing flow dynamics in very small tidal creeks is complicated and not well suited to methods developed for upland streams or coastal estuaries, due to low flows, bidirectionality and shallow waters. Simple instrumentation enables thermal and salinity signals to be used to observe flow directions and estimate velocities in these settings. Using multiple inexpensive sensors over 500 m along a tidally influenced wetland creek, I demonstrate how advection of temperature and specific conductance pulses reveal flood and ebb tides and the temporary reversal of flow by warmer, estuarine water from the receiving embayment. The sequential rise of temperature upstream was most evident under hot and dry conditions, after daily peak air temperatures of 25 degrees C or above, and was subdued or disrupted under cooler or rainy conditions in summertime. Changes in specific conductance at successive sites upstream were less susceptible to environmental influences and confirm tidal flood velocity of between 0.07 and 0.37 m/s. The tidally-induced flow reversal suggests that periodic high tide conditions can interfere with rapid dispersal of pollution discharges, such as from the combined sewer overflow (CSO) located upstream of the studied creek reach. This low-cost approach of temperature and specific conductance sensing in vegetated coastal wetlands where access, precise elevation control and creek discharge measurements are difficult, provides a simple way of tracking water masses when sufficient contrast exists between water sources. Published by Elsevier B.V.",2016,,JOURNAL OF HYDROLOGY,542,,552-563,WOS:000388248400039,10.1016/j.jhydrol.2016.09.030,,#20519,Eaton 2016,,,https://doi.org/10.1016/j.jhydrol.2016.09.030,,,,,
Soil quality changes due to flood irrigation in agricultural fields along the Rio Grande in western Texas,"Cox, C; Jin, LX; Ganjegunte, G; Borrok, D; Lougheed, V; Ma, L","Growing populations demand more food, putting more pressure on soil productivity and sustainability around the world. In western Texas along the Rio Grande Valley, the low natural rainfall requires frequent irrigations for sustaining agriculture. To investigate the impacts of irrigation on soil quality, we collected and modelled geochemical data (major elements and nutrients) on irrigation water, soil pore water, drainage water, and soil samples, and monitored soil moisture, temperature, and electrical conductivity with sensors from two pecan, one cotton, and one alfalfa fields in western Texas.This study showed that flood irrigation with both surface (Rio Grande river) and ground waters significantly increased the root-zone salinity, soil sodicity, and nutrient leaching from soils to the underlying aquifers and Rio Grande river from agricultural fields of the arid southwest. The water used for irrigation was high in total dissolved solids (> 500 ppm generally), dominated by Na+, Cl-, Ca2+ and SO42-. After flood irrigation, infiltrating water dissolved salts such as gypsum that have accumulated in the soils due to previous irrigations, or/and mixed existing concentrated soil waters, and approached saturation with respect to these evaporite minerals. Soil water was supersaturated with respect to carbonates as pedogenic calcite precipitated out and reached concentrations of similar to 10 wt% of total soil mass. This suggested that pedogenic carbonate is an important carbon reservoir and precipitation kinetics and controls of such secondary calcite need further investigation for the irrigated agricultural fields in arid regions of the world.Chemistry of agricultural return flow samples collected from drainage ditches was similar to that of irrigation water, suggesting that most of the irrigation water had taken a shallow and short flowpath through the fields to drains. Between irrigation events, soil water became more concentrated as water was lost through evapo-transpiration that led to precipitation of evaporite salts. As a result, sodicity and salinity of soils, especially clayey soils, frequently exceeded the tolerance levels of major crops grown in the region. Here in these fine-textured soils, combination of high evapotranspiration rates, intensive irrigation with water of elevated salinity, and limited infiltration stunted crop growth, decreased soil porosity and permeability, led to poor aeration, and accelerated salt buildup via a positive feedback mechanism.During initial irrigation where soils were saturated, soil water also percolated and recharged to underlying aquifers, and thus salts, nutrients, and trace metals from agricultural practices (i.e., application of fertilizers, irrigation, soil amendments, and pesticide) could be mobilized to shallow groundwaters. This implied that chemistry of Rio Grande river, groundwater, and soil was closely linked. Thus the sustainability of agriculture depended on appropriate water, soil and crop management practices.",2018,,APPLIED GEOCHEMISTRY,90,,87-100,WOS:000424849000008,10.1016/j.apgeochem.2017.12.019,,#20542,Cox 2018,,,https://doi.org/10.1016/j.apgeochem.2017.12.019,Texas,,,,
Some observations regarding the potential effects of doming of tropical peat deposits on the composition of coal beds,"Cohen, AD; Stack, EM","Several important concepts relative to the origin of coal beds can be gleaned from studies of modern domed and planar peat deposits in tropical-subtropical settings. These are: (1) laterally, some portions of a single continuous peat deposit may be domed and some portions may be planar; (2) domed deposits are most often found to have begun as planar deposits; (3) domed-formed peat facies may be overridden by planar-formed peat facies, due to such factors as sea level rise and/or increased rate of local and basinal subsidence; (4) domed peat facies tend to have less mineral matter and contain fewer inorganic splits than planar facies; (5) sulfur intrusion from marine waters can be retarded by doming, allowing low-sulfur peats to form relatively near to the coastline; (6) marine transgression can cause high-sulfur, marine-influenced, planar, peat facies to override freshwater domed or planar facies, resulting in enrichment of the upper parts of these underlying facies in sulfur and ash; (7) dome-formed peat facies tend to be thicker and more uniform in composition than planar-formed facies, with dome-formed peat facies having the potential to produce the more uniform bright coal types (clarains and vitrains) and planar-formed pear facies often producing duller coal types and/or alternating, durainic (inertinite-rich) and vitrainic (wood-derived) bands; (8) actively developing peat domes in wet settings often exhibit no appreciable increase in inertinitic material toward their tops; although the tops of either domed or planar peat deposits can be enriched in inertinitic material if the water table is lowered by either local or regional changes in hydrology or climate.",1996,,INTERNATIONAL JOURNAL OF COAL GEOLOGY,29,1-3,39-65,WOS:A1996TP90800003,10.1016/0166-5162(95)00011-9,,#20549,Cohen 1996,,,https://doi.org/10.1016/0166-5162(95)00011-9,,,,,
Chemical and hydrological controls on salt accumulation in irrigated soils of southwestern U.S,"Ortiz, AC; Jin, LX","Soil salinization is a global problem affecting approximately 10% of agricultural soils, particularly in irrigated aridlands. This study quantified salt-loading by flood irrigation and soil fertilizers/amendments versus atmospheric deposition, studied controls of solute transport and salt buildup, and evaluated the effectiveness of gypsum application in improving soil sodicity in the arid southwestern United States. Study sites include one natural site and two agricultural sites in fields of dominant crops of the region, a pecan orchard and an alfalfa field near El Paso, Texas. The salt-loading rate in agricultural soils was dominated by the quantity and quality of irrigation waters rather than by dust. Salt loadings by irrigation waters were estimated similar to 306 g Na+ m(-2) yr(-1), 129 g Ca2+ m(-2) yr(-1), 361 g Cl- m(-2) yr(-1), 419 g SO42- m(-2) yr(-1), and 284 g HCO3- m(-2) yr(-1), followed by soil amendments. Whereas dust and fertilizer loadings were negligible in agricultural soils. Soil texture variability physically governs water movement and solute transport; coarser soils retained significantly less water than finer soils upon irrigation (p < 0.005) facilitating salt leaching. More salts accumulated around low-permeability layers. Some soils have approached salinity thresholds after only 90 years of cultivation. The Rio Grande river flow is projected to decrease due to reduced snowfall in Colorado, leading to more groundwater of higher salinity, to be used. If ground water were to be the sole water source, the salt loading rate would almost double. Soil amendments temporarily reduce soil sodicity induced by high Na+ concentrations in irrigation water. Their application is needed annually to prevent soil dispersion, to improve infiltration, and to stop even faster salt accumulation. This study highlighted the challenges that the Rio Grande valley in southwestern United States and other irrigated drylands are facing.",2021,,GEODERMA,391,,,WOS:000625877700009,10.1016/j.geoderma.2021.114976,,#20627,Ortiz 2021,,,https://doi.org/10.1016/j.geoderma.2021.114976,United States,El Paso,Texas,Colorado,
NUTRIENT PROCESSING AND THE DEVELOPMENT OF TIDAL CREEK ECOSYSTEMS,"DAME, RF; GARDNER, LR","The North Inlet marsh-estuarine system encompasses the spectrum of interaction between the ocean and the uplands typical of the southeastern United States. The system is an ebb-dominated, bar-built estuary with good flow connection to the sea and some freshwater input.The North Inlet basin has evolved from a forested, relic, beach-ridge terrain under a regime of slowly rising sea level (2 mm year-1). This mode of development is supported by historic tide gage data Pb-210 dating of sediment cores, the presence of spodic soil horizons and tree roots at shallow depths beneath the marsh surface, and the presence of relic 'cat eye' ponds at the edge of the salt marsh. As sea level rises, the boundary between forest and salt marsh recedes upslope and forest spodosols are gradually transformed into marsh soils by salinization, the deposition and mixing of marine mud into the upper horizons of the forest soil and the accumulation of reduced sulfur via sulfate reduction. As a forest watershed is transformed into a salt-marsh basin, the hydraulic geometry of the original, black-water (fresh) stream increases to accommodate the increasing volumes of tidal discharge. Forest sands move seaward while marine muds are transported into the basin.As water moves between the forest and the sea, it passes through creeks in different developmental stages. Large mature creeks interact with the ocean while young, ephemeral creeks drain the uplands and intertidal marsh zones. Intermediate stage creeks connect these two and are characterized by the presence of oyster reefs. Net nutrient fluxes appear to be different in each developmental stage.The 'Bly Creek' study of Dame and coworkers addressed the flux of materials between a creek at the intermediate stage of development and the adjacent mature system. Material fluxes from a freshwater stream draining into Bly Creek from the adjacent uplands were also observed. The role of the salt marsh and the oyster reefs in determining material fluxes was examined. The Bly Creek basin imports particulate nutrients and exports dissolved forms,The 'Outwelling' study of Dame and coworkers at North Inlet focused on the flux of materials between the mature creeks and the Atlantic Ocean. Ail constituents were exported seasonally and annually from the estuary, except total sediments (imported during fall and winter) and chlorophyll a (imported in the summer and fall). The export of carbon, nitrogen and phosphorus was high compared with other estuarine systems.On a unit area basis, primary productivity is higher and nutrient fluxes are lower in Bly Creek (intermediate stage of development) as compared with the mature North Inlet system. These observations support the general ecosystem development hypothesis that nutrient storage and retention are higher in younger systems than more mature systems where growth is lower and fewer nutrients are needed.",1993,,MARINE CHEMISTRY,43,1-4,175-183,WOS:A1993LX15300013,10.1016/0304-4203(93)90223-B,,#20658,DAME 1993,,,https://doi.org/10.1016/0304-4203(93)90223-B,Bly Creek,United States,,,
Estimation of seawater retreat timescales in homogeneous and confined coastal aquifers based on dimensional analysis,"Mamalakis, A; Kaleris, V","Reliable estimation of the timescales of seawater retreat (SWR) in coastal aquifers has significant implications for sustainable groundwater management in coastal areas. Due to the complexity of coastal dynamics, analytical estimates of SWR timescales are limited in number, and numerical models are mainly utilized. Although numerical models allow for accurate analysis of the coastal systems, they concern particular aquifer cases, thus their results are not generally applicable. Here, we perform a dimensional analysis for the depth-integrated freshwater/seawater continuity equations and identify the dimensionless parameters that affect SWR in confined, homogeneous and flux-controlled aquifers. Based on numerical simulations, we gain insight into how these parameters affect SWR, and produce type curves which can be used as a simple tool for estimating SWR timescales in idealized coastal systems, independent of the hydraulic and geometric characteristics of the aquifer. The reliability of our estimates in real-world applications is also discussed.",2019,,HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,64,2,190-209,WOS:000461573900005,10.1080/02626667.2018.1552787,,#20663,Mamalakis 2019,,,https://doi.org/10.1080/02626667.2018.1552787,,,,,
Biogeochemical effects of seawater restoration to diked salt marshes,"Portnoy, JW; Giblin, AE","We conducted greenhouse microcosm experiments to examine the biogeochemical effects of restoring seawater to historically diked Cape Cod salt marshes. Feat cores from both seasonally flooded and drained diked marshes were waterlogged with seawater, and porewater chemistry was subsequently monitored for 21 mo. The addition of seawater to highly organic, seasonally flooded peat caused the death of freshwater wetland plants, 6-8 cm of sediment subsidence, and increased N and P mineralization. Also, sulfides and alkalinity increased 10-fold, suggesting accelerated decomposition by sulfate reduction. Addition of seawater to the low-organic-content acidic peat from the drained marsh increased porewater pH, alkalinity, PO4-P, and Fe(II), which we attribute to the reestablishment of SO4 and Fe(III) mineral reduction. Increased cation exchange contributed to 6-fold increases in dissolved Fe(II) and Al and 60-fold increases in NH4-N within 6 mo of salination.Seawater reintroductions to seasonally flooded diked marshes will cause porewater sulfides to increase, likely reducing the success of revegetation efforts. Sulfide toxicity is of less concern in resalinated drained peats because of the abundance of Fe(II) to precipitate sulfides, and of NH4-N to offset sulfide inhibition of N uptake. Restoration of either seasonally flooded or drained diked marshes could stimulate potentially large nutrient and Fe(II) releases, which could in turn increase primary production and lower oxygen in receiving waters. These findings suggest that tidal restoration be gradual and carefully monitored.",1997,,ECOLOGICAL APPLICATIONS,7,3,1054-1063,WOS:A1997XQ08100027,,,#20669,Portnoy 1997,,,https://doi.org/nan,,,,,
"Developing New Coastal Forest Restoration Products Based on Landsat, ASTER, and MODIS Data","IEEE; Spruce, JP; Smoot, J; Graham, W","This paper discusses an ongoing effort to develop new geospatial information products for aiding coastal forest restoration and conservation efforts in coastal Louisiana and Mississippi. This project employs Landsat, Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER), and Moderate Resolution Imaging Spectroradiometer (MODIS) satellite data in conjunction with airborne elevation data to compute coastal forest cover type maps and change detection products. Improved forest mapping products are needed to aid coastal forest restoration and management efforts of State and Federal agencies in the Northern Gulf of Mexico (NGOM) region. In particular, such products may aid coastal forest land acquisition and conservation easement procurements. This region's forests are often disturbed and subjected to multiple biotic and abiotic threats, including subsidence, salt water intrusion, hurricanes, sea-level rise, insect-induced defoliation and mortality, altered hydrology, wildfire, and conversion to non-forest land use. In some cases, such forest disturbance has led to forest loss or loss of regeneration capacity. In response, a case study was conducted to assess and demonstrate the potential of satellite remote sensing products for improving forest type maps and for assessing forest change over the last 25 years. Change detection products are needed for assessing risks for specific priority coastal forest types, such as live oak and baldcypress-dominated forest. Preliminary results indicate Landsat time series data are capable of generating the needed forest type and change detection products. Useful classifications were obtained using 2 strategies: 1) general forest classification based on use of 3 seasons of Landsat data from the same year; and 2) classification of specific forest types of concern using a single date of Landsat data in which a given targeted type is spectrally distinct compared to adjacent forested cover. When available, ASTER data was useful as a complement to Landsat data. Elevation data helped to define areas in which targeted forest types occur, such as live oak forests on natural levees. MODIS Normalized Difference Vegetation Index time series data aided visual assessments of coastal forest damage and recovery from hurricanes. Landsat change detection products enabled change to be identified at the stand level and at 10-year intervals with the earliest date preceding available change detection products from the National Oceanic and Atmospheric Administration and from the U.S. Geological Survey. Additional work is being done in collaboration with State and Federal agency partners in a follow-on NASA ROSES project to refine and validate these new, promising products. The products from the ROSES project will be available for aiding NGOM coastal forest restoration and conservation.",2009,,"OCEANS 2009, VOLS 1-3",,,1265-+,WOS:000280322600187,,,#20686,IEEE 2009,,,https://doi.org/nan,Louisiana,Mississippi,,,
Diverse water quality responses to extreme climate events: an introduction,"Kaushal, SS; Gold, AJ; Bernal, S; Tank, JL","We synthesize and summarize main findings from a special issue examining the origins, evolution, and resilience of diverse water quality responses to extreme climate events resulting from a Chapman Conference of the American Geophysical Union (AGU). Origins refer to sequences of interactive disturbances and antecedent conditions that influence diversification of water quality responses to extreme events. Evolution refers to the amplification, intensification, and persistence of water quality signals across space and time in watersheds. Resilience refers to strategies for managing and minimizing extreme water quality impacts and ecosystem recovery. The contributions of this special issue, taken together, highlight the following: (1) there is diversification in the origins of water quality responses to extreme climate events based on the intensity, duration, and magnitude of the event mediated by previous historical conditions; (2) interactions between climate variability and watershed disturbances (e.g., channelization of river networks, land use change, and deforestation) amplify water quality pulses,' which can manifest as large changes in chemical concentrations and fluxes over relatively short time periods. In the context of the evolution of water quality responses, results highlight: (3) there are high intensity and long-term climate events, which can generate unique sequences in water quality, which have differential impacts on persistence of water quality problems and ecosystem recovery rates; and (4) chemical cocktails' or novel mixtures of elements and compounds are transported and transformed during extreme climate events. The main findings regarding resilience to extreme climate events are that: (5) river restoration strategies for reducing pollution from extreme events can be improved by preserving and restoring floodplains, wetlands, and oxbow ponds, which enhance hydrologic and biogeochemical retention, and lengthen the distribution of hydrologic residence times; and (6) the biogeochemical capacity for stream and river ecosystems to retain and transform pollution from landscapes can become saturated during floods unless watershed pollution sources are reduced. Finally, the unpredictable occurrence of extreme climate events argues for wider deployment of high-frequency, in situ sensors for monitoring, managing, and modeling diverse water quality responses. These sensors can be used to develop robust proxies for chemical cocktails, detect water quality violations following extreme climate events, and effectively trace the trajectory of water quality recovery in response to managing ecosystem resilience.",2018,,BIOGEOCHEMISTRY,141,3,273-279,WOS:000451259700001,10.1007/s10533-018-0527-x,,#20692,Kaushal 2018,,,https://doi.org/10.1007/s10533-018-0527-x,,,,,
Frontal observations of the Delaware Coastal Current source region,"Sanders, TM; Garvine, RW","The Delaware Coastal Current is formed by the outflow of buoyant estuarine water from Delaware Bay. Its source region is concentrated near the Delaware coast at the estuary mouth in a narrow region typically only 4-6 km in width.We used a combination of moored current, temperature, and conductivity records together with CTD profiles, underway surface thermosalinograph records, and repeated acoustic Doppler profiling to study the source region hydrographic and current fields with emphasis on its frontal boundaries and their tidal frequency variability. Our central finding is that twin frontal boundaries exist for the source region over much of the tidal period, that is, both its offshore and onshore boundaries are fronts. Between the twin fronts lies the buoyant water of the source region, a conduit for the net seaward transport of buoyancy.These frontal boundaries are strongly modulated in horizontal density gradient at the M(2) tidal frequency. Maximum gradients occur during early flood current phase. Weaker gradients characterize the ebb current phase. The density gradient modulation is partly explained at both fronts by the occurrence of the lowest salinity and density water in the source region near the time of slack water before hood. Near the offshore front, furthermore, horizontal convergence of the flood tidal currents provides subsequent frontogenesis, so that peak frontal density gradients are reached there during the flood current phase.",1996,,CONTINENTAL SHELF RESEARCH,16,8,1009-1021,WOS:A1996UE43200002,10.1016/0278-4343(95)00043-7,,#20695,Sanders 1996,,,https://doi.org/10.1016/0278-4343(95)00043-7,Delaware,,,,
Integrated water management for the 21st century: Problems and solutions,"Bouwer, H","Most of the projected global population increases will take place in third world countries that already suffer from water, food, and health problems. Increasingly, the various water uses (municipal, industrial, and agricultural) must be coordinated with, and integrated into, the overall water management of the region. Sustainability, public health, environmental protection, and economics are key factors. More storage of water behind dams and especially in aquifers via artificial recharge is necessary to save water in times of water surplus for use in times of water shortage. Municipal wastewater can be an important water resource but its use must be carefully planned and regulated to prevent adverse health effects and, in the case of irrigation, undue contamination of groundwater. While almost all liquid fresh water of the planet occurs underground as groundwater, its long-term suitability as a source of water is threatened by nonpoint source pollution from agriculture and other sources and by aquifer depletion due to groundwater withdrawals in excess of groundwater recharge. In irrigated areas, groundwater levels may have to be controlled with drainage or pumped well systems to prevent waterlogging and salinization of soil. Salty drainage waters must then be handled in an ecologically responsible way. Water short countries can save water by importing most of their food and electric power from other countries with more water, so that in essence they also get the water that was necessary to produce these commodities and, hence, is virtually embedded in the commodities. This ""virtual"" water tends to be a lot cheaper for the receiving country than developing its own water resources. Local water can then be used for purposes with higher social, ecological, or economic returns or saved for the future. Climate changes in response to global warming caused by carbon dioxide emission are difficult to predict in space and time. Resulting uncertainties require flexible and integrated water management to handle water surpluses, water shortages, and weather extremes. Long-term storage behind dams and in aquifers may be required. Rising sea levels will present problems in coastal areas.",2002,,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,128,4,193-202,WOS:000177058700001,10.1061/(ASCE)0733-9437(2002)128:4(193),,#20732,Bouwer 2002,,,https://doi.org/10.1061/(ASCE)0733-9437(2002)128:4(193),,,,,
Projecting the effects of a warming climate on the hurricane hazard and insured losses: Methodology and case study,"Rosowsky, DV","This paper summarizes research (conducted previously by the author) to incorporate (1) sea-surface temperature projections, (2) event-based hurricane simulation models, and (3) loss models to assess the impacts of the changing climate on the hurricane hazard and estimated insured losses. The focus of the work is on the US east coast and hence the formation and movement of hurricanes over the Atlantic Basin. As an illustrative case, the area around Charleston, South Carolina is considered. Specifically, this paper presents a methodology to prob-abilistically estimate regional hurricane loss considering both hurricane intensity and size as well as projected sea surface temperature change as a function of climate change.It is most common to characterize the hurricane wind hazard using a measure of intensity only. Recent studies have demonstrated the importance of accounting for storm size when characterizing the hurricane hazard in order to properly estimate/predict the spatial extent of damage. For purposes of regional loss estimation, therefore, considering maximum wind speed only may not be adequate. A storm with larger size but lower intensity might result in more damage and hence greater total loss than a smaller, more intense storm. Here, the maximum wind speed (intensity) and the radius of maximum winds (spatial extent) are selected as the two dominant indicators (parameters) characterizing the hurricane (event) hazard. The resulting bivariate hazard model is then used as input to a regional loss estimation model to illustrate its potential application. Only hurricane wind damage (and associated losses from both wind damage and water intrusion) is considered in this study. Collateral damage due to flood or storm surge is not addressed here.Simulated events impacting this region are extracted from a synthetic hurricane database (developed by the author and his colleagues) and the joint distribution of intensity and size is established to characterize the hurricane hazard. Regional loss for each simulated hurricane event is then estimated using the loss estimation module in HAZUS_MH. Finally, distributions of regional loss at different (event) hazard levels are generated.A future climate scenario (increasing sea surface temperature) is next considered and the joint distribution of hurricane intensity and size and the resulting loss distribution curve is recomputed. The results are then able to be compared to those under the current climate scenario. Such comparisons can help to inform codes and standards committees, for example, as they consider whether and how to take potential climate change impacts (in the design lifetime) into account. They also can inform ongoing public discourse around mitigation and adaptation, whether hardening of buildings and other infrastructure systems, community resilience planning, construction practices, or related policies.",2021,,STRUCTURAL SAFETY,88,,,WOS:000591646000004,10.1016/j.strusafe.2020.102036,,#20742,Rosowsky 2021,,,https://doi.org/10.1016/j.strusafe.2020.102036,US,Charleston,South Carolina,,
Natural and anthropogenic effects on microplastic distribution in a hypersaline lagoon,"Quesadas-Rojas, M; Enriquez, C; Valle-Levinson, A","Information on the transport and distribution of microplastics in coastal lagoons is scarce. This study provides the first evaluation of microplastic distribution in a hypersaline coastal lagoon and explores natural and anthropogenic factors that drive their location and transport. The study combines different field strategies: spatial distribution of microplastics in sediments, for September 2017 (wet season and peak use of the lagoon) and February 2018 (winter season, characterized by intense Northerly winds and least use of the lagoon); spatial distribution of microplastics in the water column in the winter season; ocean-lagoon exchanges of water and microplastics at the lagoon entrance during tidal cycles. Also, one-year records of water level variations along the lagoon provide connections between local pressure gradients and water fluxes. Statistical analyses indicate relationships between temporal variations of microplastic concentrations and human activities. Results show marked seasonality in sources and transport agents. During the summer, microplastics concentration was related to human activities. After this season, the accumulated precipitation in the continental karst region leads to an increase in the water level at the head of the lagoon. The resulting pressure gradient promotes seaward flushing of hypersaline water and of microplastics. At tidal (diurnal) time scales, measurements at the mouth of the lagoon revealed that more particles were collected in ebb than in flood. This variability underscores the need to resolve tidal variability for microplastic sampling in coastal lagoons and estuaries.(c) 2021 Elsevier B.V. All rights reserved.",2021,,SCIENCE OF THE TOTAL ENVIRONMENT,776,,,WOS:000647703500001,10.1016/j.scitotenv.2021.145803,,#20759,Quesadas-Rojas 2021,,,https://doi.org/10.1016/j.scitotenv.2021.145803,,,,,
Mississippi River delta: an overview,"Coleman, JM; Roberts, HH; Stone, GW","Over the last century, the river-dominated Mississippi delta has received increasing attention from geoscientists, biologists, engineers, and environmental planners because of the importance of the river and its deltaic environments to the economic well-being of the state of Louisiana and the nation. Population growth, subsurface resource extraction, and increased land-water use have placed demands on the delta's natural geologic, biologic, and chemical systems, therefore modifying the time and spatial scales of natural processes within the delta and its lower alluvial valley. As a result, the combined effects of natural and human-induced processes, such as subsidence, eustatic sea level rise, salt water intrusion, and wetland loss, have produced a dynamically changing landscape and socioeconomic framework for this complex delta.Under natural conditions, the fundamental changes that result in land-building and land loss in the Holocene Mississippi River delta plain are rooted in the systematic diversion of water and sediment associated with major shifts in the river's course-the process of delta switching. Research over the last half century has shown that major relocations of the Mississippi's course have resulted in five Holocene delta complexes and a sixth one in an early stage of development as a product of the latest Atchafalaya River diversion. Collectively, these Holocene deltas have produced a delta plain that covers an area of similar to 30,000 km(2) and accounts for 41% of the coastal wetlands in the United States. After a river diversion takes place, the resulting delta evolves through a systematic and semipredictable set of stages generally characterized by: (a) rapid progradation with increasing-to-stable discharge, (b) relative stability during initial stages of waning discharge, (c) abandonment by the river in favor of a higher gradient course to the receiving basin, and (d) marine reworking of a sediment-starved delta as it undergoes progressive submergence by the combined processes of subsidence. Delta switching has taken place every 1000 to 2000 years during Holocene times, and resulting deltas have an average thickness of approximately 35 m. Within a single delta there are subdeltas, bayfills, and crevasse-splays that have higher frequency delta cycles ranging from several hundred years to a few decades. These depositional features are usually less than 10 m thick, and some have produced marshland areas of over 300 km2. The net result of these delta-building events is a low-lying landscape with components that are changing(building and deteriorating) at different rates. Geologically, these depositional cycles produce a thick accumulation of coarsening, upward deltaic deposits that have various thicknesses in response to development on a variety of temporal and spatial scales.In this river-dominated delta system, distributaries can prograde seaward at rates of over 100 m/year. The cumulative effect of the Holocene depository has been to depress the underlying Pleistocene surface. In a local setting, e.g., the modern Balize Lobe, differential loading causes the vertical displacement of underlying clay-rich facies (shale diapirs-mudlumps). The delta front of this lobe, which has prograded into deep water of the outer continental shelf, is characterized by rapid deposition of silt- and clay-rich sediments and slope instability, which results in seaward displacement of sediments by a variety of mass-movement processes.Superimposed on the natural processes and forms of the Mississippi deltaic plain and its associated estuarine environments, are human impacts, most of which have been imposed in this century. The most significant impacts have resulted from a decrease in sediment input to the river from its tributaries and the alteration of the river's natural sediment dispersal processes through the construction of levees. Measures are now being taken to reinstate some of the delta's natural processes, thereby mitigating landless so that decline in animal and plant productivity can be mitigated.",1998,,JOURNAL OF COASTAL RESEARCH,14,3,698-716,WOS:000075421100003,,,#20782,Coleman 1998,,,https://doi.org/nan,Mississippi,Louisiana,Holocene,the United States,
